LOCATION,TIME,Value
BGR,2009,13914.467312
BGR,2010,14587.638194
BGR,2011,15661.177049
BGR,2012,16241.600465
BGR,2013,16581.738181
BGR,2014,17555.49192
BGR,2015,18342.011724
BGR,2016,19699.642204
BGR,2017,21210.58619
BGR,2018,22317.959295
HRV,2004,14530.588793
HRV,2005,15301.2886
HRV,2006,17425.914018
HRV,2007,19340.283023
HRV,2008,20765.46326
HRV,2009,19977.356811
HRV,2010,19727.254504
HRV,2011,20698.839662
HRV,2012,21094.81931
HRV,2013,21736.211938
HRV,2014,22018.274497
HRV,2015,22895.306895
HRV,2016,24416.428678
HRV,2017,26163.653441
HRV,2018,27456.130661
CYP,2004,25921.013055
CYP,2005,27763.105975
CYP,2006,29984.329856
CYP,2007,32850.086448
CYP,2008,34830.225272
CYP,2009,33891.829308
CYP,2010,33420.855508
CYP,2011,33313.51296
CYP,2012,31834.648622
CYP,2013,30375.135687
CYP,2014,30042.757464
CYP,2015,31722.233659
CYP,2016,34379.575534
CYP,2017,36875.176388
CYP,2018,38513.41077
MLT,2004,21341.856268
MLT,2005,22265.719116
MLT,2006,23227.410451
MLT,2007,24892.495898
MLT,2008,26193.230358
MLT,2009,26141.314851
MLT,2010,27811.504613
MLT,2011,28585.575738
MLT,2012,29434.899196
MLT,2013,31072.386018
MLT,2014,33366.32234
MLT,2015,36171.79323
MLT,2016,38321.425212
MLT,2017,41466.381246
MLT,2018,42710.098443
ROU,2004,8982.019325
ROU,2005,9602.103407
ROU,2006,11544.715086
ROU,2007,13686.942348
ROU,2008,16782.151849
ROU,2009,16635.328127
ROU,2010,16966.414345
ROU,2011,17907.570971
ROU,2012,18929.530639
ROU,2013,19792.281449
ROU,2014,20615.540114
ROU,2015,21627.160758
ROU,2016,23863.058219
ROU,2017,26626.217154
ROU,2018,28209.08766
