LOCATION,TIME,Value
FRA,2017,44469.0205777572
FRA,2018,44510.1331755264
DEU,2004,43917.7282097523
DEU,2005,43840.6952766449
DEU,2006,43876.6653654295
DEU,2007,43802.0567282391
DEU,2008,44079.1495615356
DEU,2009,44253.629968559
DEU,2010,44451.2169927581
DEU,2011,45209.4181699702
DEU,2012,45725.158178711
DEU,2013,46277.1656553302
DEU,2014,47010.0471100532
DEU,2015,48034.5945384642
DEU,2016,48709.639529907
DEU,2017,49161.0939059798
DEU,2018,49813.2001197041
GRC,2004,32458.1408730786
GRC,2005,32359.2814412905
GRC,2006,32747.1821376753
GRC,2007,32739.6592969413
GRC,2008,32246.4079492259
GRC,2009,33761.8009258269
GRC,2010,31510.0511652537
GRC,2011,29445.2871864826
GRC,2012,28108.0391954039
GRC,2013,26289.7562337355
GRC,2014,26803.2423692921
GRC,2015,26585.0661034672
GRC,2016,26506.0918464706
GRC,2017,26486.3100191359
GRC,2018,26670.9542671142
HUN,2004,21014.3235357295
HUN,2005,21860.8263848403
HUN,2006,22284.3970880099
HUN,2007,21951.6594118404
HUN,2008,22199.469761848
HUN,2009,21364.5123233544
HUN,2010,21617.7990952501
HUN,2011,21604.2409121065
HUN,2012,20852.2740825257
HUN,2013,20893.4442256746
HUN,2014,20707.4577064665
HUN,2015,20150.1482374404
HUN,2016,21077.5569191831
HUN,2017,22492.6774507052
HUN,2018,24454.7107939254
IRL,2004,40126.4342402083
IRL,2005,41794.3513928186
IRL,2006,42255.5936880077
IRL,2007,43479.0941899441
IRL,2008,44888.3842529549
IRL,2009,48159.9788057754
IRL,2010,48697.7083278353
IRL,2011,48764.6568684627
IRL,2012,48153.3540175673
IRL,2013,46724.7623690921
IRL,2014,46314.7079297888
IRL,2015,47244.9340814556
IRL,2016,47709.0224609952
IRL,2017,47302.7791569915
IRL,2018,47951.8524334211
ITA,2004,37796.2478275634
ITA,2005,38222.7345109286
ITA,2006,38484.5356496312
ITA,2007,38448.9245535638
ITA,2008,38488.6452069051
ITA,2009,38680.9424219254
ITA,2010,39051.1053408773
ITA,2011,38438.7463541042
ITA,2012,37279.1206637196
ITA,2013,37338.2738536774
ITA,2014,37481.9106028961
ITA,2015,37793.0767637178
ITA,2016,38059.9491856735
ITA,2017,37696.6486010454
ITA,2018,37751.9346359886
LUX,2004,57767.5247410426
LUX,2005,57822.1181385342
LUX,2006,58620.7820133888
LUX,2007,60156.8725383337
LUX,2008,59918.8814288011
LUX,2009,61588.2720846862
LUX,2010,62131.5623708291
LUX,2011,61213.3410244053
LUX,2012,60707.1062205704
LUX,2013,61305.4750404664
LUX,2014,63606.7061442543
LUX,2015,64551.5463205006
LUX,2016,64453.1102333611
LUX,2017,65890.9973978135
LUX,2018,65448.6119521135
NLD,2004,51286.3893218508
NLD,2005,51286.5622056545
NLD,2006,51186.2627615449
NLD,2007,51917.4988338074
NLD,2008,52231.3253699685
NLD,2009,54463.9530851759
NLD,2010,54477.2273959105
NLD,2011,54140.2907472644
NLD,2012,54362.1954727787
NLD,2013,54554.9653435035
NLD,2014,54260.7447913823
NLD,2015,54892.5887094084
NLD,2016,55131.5950035034
NLD,2017,54633.7962653935
NLD,2018,54261.6824451956
POL,2004,21120.4841769855
POL,2005,21062.7063054728
POL,2006,21203.0840369347
POL,2007,21878.2248477501
POL,2008,23045.009955646
POL,2009,22998.9590715261
POL,2010,23652.3265080117
POL,2011,23654.2080691834
POL,2012,23445.5055941532
POL,2013,23712.9624695206
POL,2014,24195.8483796721
POL,2015,24726.1254227733
POL,2016,25956.369952434
POL,2017,27057.9570942089
POL,2018,29109.0437588983
PRT,2004,26612.1169240383
PRT,2005,26458.8626132083
PRT,2006,25886.1510759711
PRT,2007,26068.6322528145
PRT,2008,25983.937558558
PRT,2009,27184.2332455125
PRT,2010,27080.3018475697
PRT,2011,26436.5001695017
PRT,2012,25294.1888121475
PRT,2013,25813.878459942
PRT,2014,25360.0758250526
PRT,2015,25307.314624374
PRT,2016,25349.7864073952
PRT,2017,25288.7214986397
PRT,2018,25487.063695971
SVK,2004,17565.8637552184
SVK,2005,18706.242783276
SVK,2006,19326.0793307524
SVK,2007,20514.3873202058
SVK,2008,20718.3013342358
SVK,2009,21416.4517682614
SVK,2010,22359.7880991011
SVK,2011,22161.145244786
SVK,2012,21916.8050911766
SVK,2013,22082.4824065428
SVK,2014,22510.8671166364
SVK,2015,23343.9743397098
SVK,2016,24053.0532434343
SVK,2017,24719.5049539902
SVK,2018,25356.6822930888
ESP,2004,37029.5348939314
ESP,2005,37244.8251544944
ESP,2006,37103.7602629606
ESP,2007,37589.7075114717
ESP,2008,39102.3064811949
ESP,2009,41750.9110608699
ESP,2010,41034.3405967623
ESP,2011,40452.8193042483
ESP,2012,39301.6048473049
ESP,2013,39391.2953296579
ESP,2014,39397.7673480283
ESP,2015,40087.6276824469
ESP,2016,39860.3469696336
ESP,2017,39073.2504703326
ESP,2018,38761.1845695886
SWE,2004,36310.7787163917
SWE,2005,37018.8522689722
SWE,2006,37913.3589869779
SWE,2007,39137.087703453
SWE,2008,39678.8303101755
SWE,2009,39938.3121151627
SWE,2010,40175.4247888686
SWE,2011,40680.5634143444
SWE,2012,41581.035681636
SWE,2013,42015.7606411142
SWE,2014,42444.0857777945
SWE,2015,43159.3923431633
SWE,2016,43735.7274231448
SWE,2017,43987.4903851589
SWE,2018,44196.2394518027
GBR,2004,43662.6782108303
GBR,2005,43597.2427682325
GBR,2006,44590.0677442968
GBR,2007,45881.9279187746
GBR,2008,44679.4528629212
GBR,2009,45455.2309125489
GBR,2010,45526.5534183901
GBR,2011,44375.687431994
GBR,2012,44006.8490972108
GBR,2013,44141.380031534
GBR,2014,43782.3131168514
GBR,2015,44125.736187621
GBR,2016,44465.8182551878
GBR,2017,44589.7798966777
GBR,2018,44770.0497407862
EST,2004,16305.1227833998
EST,2005,17284.884862909
EST,2006,18747.9215352569
EST,2007,21771.8733781834
EST,2008,22052.7751477017
EST,2009,21304.5278418835
EST,2010,21192.4254840883
EST,2011,20320.6436551441
EST,2012,21161.9213976121
EST,2013,21459.5919239261
EST,2014,22570.8416084236
EST,2015,23436.376650842
EST,2016,24691.2957568958
EST,2017,25368.0513517789
EST,2018,26898.1034588229
SVN,2004,30686.5862150333
SVN,2005,31855.1560295334
SVN,2006,32888.1299054263
SVN,2007,33606.5085912658
SVN,2008,34097.1682714636
SVN,2009,34435.8498219121
SVN,2010,35473.8145242064
SVN,2011,35340.7644739216
SVN,2012,34227.6616446995
SVN,2013,33748.9301812652
SVN,2014,34282.4843671656
SVN,2015,34933.6477267953
SVN,2016,36153.4368991805
SVN,2017,36883.0055204703
SVN,2018,37321.9086709927
LVA,2004,12795.5748276585
LVA,2005,14893.407683512
LVA,2006,16439.2025632773
LVA,2007,20280.4197698983
LVA,2008,20949.700372044
LVA,2009,18917.1205733307
LVA,2010,18174.8591331609
LVA,2011,17541.3596067982
LVA,2012,18272.8763173215
LVA,2013,19151.9646557893
LVA,2014,20429.4520762526
LVA,2015,22295.3147341683
LVA,2016,23591.6862773207
LVA,2017,24633.9748462605
LVA,2018,25586.1979656909
LTU,2004,15709.2157010792
LTU,2005,17353.8418757347
LTU,2006,19869.7780985153
LTU,2007,21165.7242527816
LTU,2008,21493.5274247118
LTU,2009,18767.8865773
LTU,2010,18835.7138113218
LTU,2011,19367.1817907655
LTU,2012,19671.0999391467
LTU,2013,20471.730643658
LTU,2014,21367.7088495311
LTU,2015,22741.6996394542
LTU,2016,23933.4999319603
LTU,2017,25207.1387454833
LTU,2018,26429.2281878031
